date,ticker,side,price,shares,value
2021-10-08,BMY,SELL,49.294307708740234,0.004535732667826384,0.22358580181241905
2021-10-08,LH,SELL,229.0423126220703,0.003083238961924606,0.7061921822056831
2021-10-08,QRVO,SELL,165.8300018310547,0.004202382659049575,0.6968811240449835
2021-10-08,PANW,SELL,82.13166809082031,0.014063653420747701,1.1550713148971798
2021-10-08,AVGO,SELL,45.5282096862793,0.021689127282205803,0.9874671348166668
2021-10-08,IT,SELL,304.1000061035156,0.0017173708792569357,0.5222524948640341
2021-10-08,MEDP,SELL,188.8000030517578,0.0020866098452859373,0.39395194515781284
2021-10-08,AMAT,SELL,121.77528381347656,0.00542076245368469,0.6601148862828907
2021-10-08,KLAC,SELL,312.2513122558594,0.0014502375781623772,0.4528385868639617
2021-10-08,ANET,SELL,23.2450008392334,0.06643299381880872,1.5442349970709959
2021-10-08,HOLX,SELL,71.37000274658203,0.009472077157564183,0.6760221727511927
2021-10-11,IT,BUY,301.4800109863281,0.00015829881319041488,0.04772392793976898
2021-10-11,HOLX,BUY,69.94999694824219,0.0025210054706419236,0.17634432497790442
2021-10-11,LH,BUY,225.65199279785156,0.0005240875778022948,0.11826140633168691
2021-10-11,LOGI,BUY,82.47364807128906,0.0006465028989862219,0.053319452568057805
2021-10-11,QRVO,BUY,163.67999267578125,0.0005945524404986443,0.09731633910618596
2021-10-11,REGN,BUY,543.9281616210938,5.044151978111058e-05,0.027436563123913515
2021-10-11,MEDP,BUY,184.3800048828125,0.0011737542440631516,0.2164168132515858
2021-10-11,ON,BUY,43.349998474121094,0.005516684810120627,0.2391482781009362
2021-10-11,CROX,BUY,125.62000274658203,0.09036121262197347,11.35117577775679
2021-10-11,AVGO,SELL,45.48109817504883,0.0008511204793892932,0.038709894081899066
2021-10-11,TROW,SELL,165.5928955078125,0.0001323095294436409,0.021909518083848667
2021-10-11,DBX,SELL,28.479999542236328,0.0013521857210679956,0.03851024871703501
2021-10-11,ANET,SELL,23.599374771118164,0.009505703806679058,0.22432866659706366
2021-10-11,AMAT,SELL,123.01020812988281,0.0013505600351613166,0.1661326710170954
2021-10-11,KLAC,SELL,311.4372863769531,6.673697232711018e-05,0.020784381562569006
2021-10-11,BMY,SELL,49.432044982910156,0.0016662565240635396,0.08236646745057641
2021-10-11,CBRE,SELL,97.69000244140625,0.0012262010087923715,0.11978757954258157
2021-10-11,PANW,SELL,83.30166625976562,0.0025561264482180392,0.2129295923072192
2022-01-03,AMAT,BUY,154.54727172851562,0.009344615492782808,1.4441848297616016
2022-01-03,DBX,BUY,24.959999084472656,0.23066213590015477,5.757326700890371
2022-01-03,REGN,BUY,624.423095703125,0.004283205500594467,2.6745324382138502
2022-01-03,BMY,BUY,53.27159118652344,0.06518839991158122,3.4726897901933556
2022-01-03,HOLX,BUY,73.0999984741211,0.05257460966578387,3.8432038863463127
2022-01-03,PANW,BUY,90.70166778564453,0.036890218960351114,3.346004384681452
2022-01-03,AVGO,BUY,61.667762756347656,0.0050999623345403715,0.3145032673127446
2022-01-03,IT,BUY,321.9599914550781,0.011129550935029311,3.5832701239408937
2022-01-03,MEDP,BUY,214.30999755859375,0.011720224481610742,2.5117612800401687
2022-01-03,TROW,BUY,166.29161071777344,0.025897134296547292,4.306476175147342
2022-01-03,ANET,BUY,35.560001373291016,4.995378995498199e-17,1.7763568394002505e-15
2022-01-03,SNEX,BUY,27.995555877685547,0.5610014686851067,15.705547964037564
2022-01-03,KLAC,BUY,417.73919677734375,0.0011488292886638813,0.47991102428073695
2022-01-03,CBRE,SELL,108.66999816894531,0.1161958797632864,12.627006041115322
2022-01-03,QRVO,SELL,159.42999267578125,0.06934980624199623,11.056439101228307
2022-01-03,LOGI,SELL,80.74932098388672,0.13763397210154923,11.113849791515308
2022-01-03,LH,SELL,245.36837768554688,0.05030390220362753,12.342986874956493
2022-01-03,ANET,SELL,35.560001373291016,0.039331455839075505,1.3986266236510598
2022-01-03,ON,SELL,70.16999816894531,0.038028097640130994,2.6684315417764655
2022-01-03,RJF,BUY,97.64814758300781,0.16083815569247475,15.705547964037564
2022-01-03,CROX,SELL,132.11000061035156,0.09036121262197347,11.937619854641023
2022-01-31,SNEX,SELL,29.15999984741211,0.09330889321388466,2.7208873118790695
2022-01-31,ON,BUY,59.0,0.00732969848557004,0.4324522106486324
2022-01-31,TROW,BUY,131.9786834716797,0.008888405867566307,1.173080104563354
2022-01-31,PANW,BUY,86.23332977294922,2.0599423031412165e-17,1.7763568394002505e-15
2022-01-31,MEDP,BUY,177.4600067138672,0.003566389458513343,0.632891497252043
2022-01-31,AMAT,BUY,133.529296875,0.0005113173132087558,0.0682758413127793
2022-01-31,WSM,BUY,74.70187377929688,0.18256456952698644,13.637915429376609
2022-01-31,RJF,SELL,100.50565338134766,0.02514513773227708,2.5272284971464867
2022-01-31,BMY,BUY,56.35240173339844,3.152229159289683e-17,1.7763568394002505e-15
2022-01-31,REGN,SELL,605.9921264648438,0.0026469899634863994,1.6040550767042223
2022-01-31,ANET,SELL,31.077499389648438,0.002827636277520644,0.0878758646887956
2022-01-31,KLAC,SELL,373.74652099609375,0.0011067934143890975,0.4136601880893131
2022-01-31,IT,SELL,293.8900146484375,0.002376227244814817,0.6983494597866429
2022-01-31,DBX,SELL,24.75,0.07820182150118594,1.9354950821543522
2022-01-31,PANW,SELL,86.23332977294922,0.015004784224800602,1.2939125062291765
2022-01-31,HOLX,SELL,70.23999786376953,0.020688509790497214,1.4531608834890992
2022-01-31,BMY,SELL,56.35240173339844,0.05280907322043316,2.9759181092863027
2022-01-31,AVGO,SELL,54.46829605102539,0.004297400885841227,0.2340721036999387
2022-02-03,BMY,SELL,55.640289306640625,0.014444262575564444,0.8036829485254877
2022-02-03,SNEX,SELL,29.497777938842773,0.03844352201838673,1.1339984756853845
2022-02-03,RJF,SELL,102.57518005371094,0.012252890898464982,1.2568424900885216
2022-02-03,ON,SELL,56.209999084472656,0.005890595443889412,0.33111036450802267
2022-02-03,DBX,SELL,23.959999084472656,0.02256721395572466,0.5407104257182613
2022-02-03,TROW,SELL,126.4578628540039,0.0032068581742131647,0.40553243118688975
2022-02-03,REGN,SELL,618.04052734375,0.002017946432071853,1.247172677029127
2022-02-03,WSM,SELL,75.18116760253906,0.014146152216019288,1.0635242406835754
2022-02-03,HOLX,SELL,73.36000061035156,0.02156225609397956,1.5818071202148971
2022-02-03,AVGO,SELL,54.00065612792969,0.015905978113847894,0.8589332545042758
2022-02-03,IT,SELL,289.92999267578125,0.0027325839123300295,0.7922580336878031
2022-02-03,MEDP,SELL,169.1999969482422,0.0020167560499231175,0.3412351174923404
2022-02-03,AMAT,SELL,131.91552734375,0.006149397539483093,0.8112010192672708
2022-02-03,KLAC,SELL,358.7781677246094,0.001198040481652744,0.42983076886728
2022-02-03,ANET,SELL,30.55500030517578,0.02443891095278246,0.7467309316204318
2022-02-03,PANW,SELL,82.0683364868164,0.003866569906428791,0.31732296013059624
